rewrite,nom_ville,nbre_car
neuville-les-dames,Neuville-les-Dames,18
neuville-sur-ain,Neuville-sur-Ain,16
neyron,Neyron,6
nievroz,Niévroz,7
nivollet-montgriffon,Nivollet-Montgriffon,20
nurieux-volognat,Nurieux-Volognat,16
oncieu,Oncieu,6
ordonnaz,Ordonnaz,8
ornex,Ornex,5
outriaz,Outriaz,7
oyonnax,Oyonnax,7
ozan,Ozan,4
parcieux,Parcieux,8
parves,Parves,6
peron,Péron,5
peronnas,Péronnas,8
perouges,Pérouges,8
perrex,Perrex,6
peyriat,Peyriat,7
peyrieu,Peyrieu,7
peyzieux-sur-saone,Peyzieux-sur-Saône,18
pirajoux,Pirajoux,8
pizay,Pizay,5
plagne,Plagne,6
polliat,Polliat,7
pollieu,Pollieu,7
poncin,Poncin,6
pont-d-ain,Pont-d'Ain,10
pont-de-vaux,Pont-de-Vaux,12
pont-de-veyle,Pont-de-Veyle,13
port,Port,4
pougny,Pougny,6
pouillat,Pouillat,8
premeyzel,Prémeyzel,9
premillieu,Prémillieu,10
pressiat,Pressiat,8
prevessin-moens,Prévessin-Moëns,15
priay,Priay,5
pugieu,Pugieu,6
ramasse,Ramasse,7
rance,Rancé,5
relevant,Relevant,8
replonges,Replonges,9
revonnas,Revonnas,8
reyrieux,Reyrieux,8
reyssouze,Reyssouze,9
rignieux-le-franc,Rignieux-le-Franc,17
romans,Romans,6
rossillon,Rossillon,9
ruffieu,Ruffieu,7
saint-alban,Saint-Alban,11
saint-andre-d-huiriat,Saint-André-d'Huiriat,21
saint-andre-de-bage,Saint-André-de-Bâgé,19
saint-andre-de-corcy,Saint-André-de-Corcy,20
saint-andre-le-bouchoux,Saint-André-le-Bouchoux,23
saint-andre-sur-vieux-jonc,Saint-André-sur-Vieux-Jonc,26
saint-benigne,Saint-Bénigne,13
saint-benoit,Saint-Benoît,12
saint-bernard,Saint-Bernard,13
saint-bois,Saint-Bois,10
saint-champ,Saint-Champ,11
saint-cyr-sur-menthon,Saint-Cyr-sur-Menthon,21
saint-denis-en-bugey,Saint-Denis-en-Bugey,20
saint-denis-les-bourg,Saint-Denis-lès-Bourg,21
saint-didier-d-aussiat,Saint-Didier-d'Aussiat,22
saint-didier-de-formans,Saint-Didier-de-Formans,23
saint-didier-sur-chalaronne,Saint-Didier-sur-Chalaronne,27
saint-eloi,Saint-Eloi,10
saint-etienne-du-bois,Saint-Etienne-du-Bois,21
saint-etienne-sur-chalaronne,Saint-Etienne-sur-Chalaronne,28
saint-etienne-sur-reyssouze,Saint-Etienne-sur-Reyssouze,27
saint-genis-pouilly,Saint-Genis-Pouilly,19
saint-genis-sur-menthon,Saint-Genis-sur-Menthon,23
saint-georges-sur-renon,Saint-Georges-sur-Renon,23
saint-germain-de-joux,Saint-Germain-de-Joux,21
saint-germain-les-paroisses,Saint-Germain-les-Paroisses,27
saint-germain-sur-renon,Saint-Germain-sur-Renon,23
saint-jean-de-gonville,Saint-Jean-de-Gonville,22
saint-jean-de-niost,Saint-Jean-de-Niost,19
saint-jean-de-thurigneux,Saint-Jean-de-Thurigneux,24
saint-jean-le-vieux,Saint-Jean-le-Vieux,19
saint-jean-sur-reyssouze,Saint-Jean-sur-Reyssouze,24
saint-jean-sur-veyle,Saint-Jean-sur-Veyle,20
saint-julien-sur-reyssouze,Saint-Julien-sur-Reyssouze,26
saint-julien-sur-veyle,Saint-Julien-sur-Veyle,22
saint-just,Saint-Just,10
saint-laurent-sur-saone,Saint-Laurent-sur-Saône,23
saint-marcel,Saint-Marcel,12
saint-martin-de-bavel,Saint-Martin-de-Bavel,21
saint-martin-du-frene,Saint-Martin-du-Frêne,21
saint-martin-du-mont,Saint-Martin-du-Mont,20
saint-martin-le-chatel,Saint-Martin-le-Châtel,22
saint-maurice-de-beynost,Saint-Maurice-de-Beynost,24
saint-maurice-de-gourdans,Saint-Maurice-de-Gourdans,25
saint-maurice-de-remens,Saint-Maurice-de-Rémens,23
saint-nizier-le-bouchoux,Saint-Nizier-le-Bouchoux,24
saint-nizier-le-desert,Saint-Nizier-le-Désert,22
saint-paul-de-varax,Saint-Paul-de-Varax,19
saint-rambert-en-bugey,Saint-Rambert-en-Bugey,22
saint-remy,Saint-Rémy,10
saint-sorlin-en-bugey,Saint-Sorlin-en-Bugey,21
saint-sulpice,Saint-Sulpice,13
saint-trivier-de-courtes,Saint-Trivier-de-Courtes,24
saint-trivier-sur-moignans,Saint-Trivier-sur-Moignans,26
saint-vulbas,Saint-Vulbas,12
sainte-croix,Sainte-Croix,12
sainte-euphemie,Sainte-Euphémie,15
sainte-julie,Sainte-Julie,12
sainte-olive,Sainte-Olive,12
salavre,Salavre,7
samognat,Samognat,8
sandrans,Sandrans,8
sault-brenaz,Sault-Brénaz,12
sauverny,Sauverny,8
savigneux,Savigneux,9
segny,Ségny,5
seillonnaz,Seillonnaz,10
sergy,Sergy,5
sermoyer,Sermoyer,8
serrieres-de-briord,Serrières-de-Briord,19
serrieres-sur-ain,Serrières-sur-Ain,17
servas,Servas,6
servignat,Servignat,9
seyssel,Seyssel,7
simandre-sur-suran,Simandre-sur-Suran,18
songieu,Songieu,7
sonthonnax-la-montagne,Sonthonnax-la-Montagne,22
souclin,Souclin,7
sulignat,Sulignat,8
surjoux,Surjoux,7
sutrieu,Sutrieu,7
talissieu,Talissieu,9
tenay,Tenay,5
thezillieu,Thézillieu,10
thil,Thil,4
thoiry,Thoiry,6
thoissey,Thoissey,8
torcieu,Torcieu,7
tossiat,Tossiat,7
toussieux,Toussieux,9
tramoyes,Tramoyes,8
treffort-cuisiat,Treffort-Cuisiat,16
trevoux,Trévoux,7
valeins,Valeins,7
vandeins,Vandeins,8
varambon,Varambon,8
vaux-en-bugey,Vaux-en-Bugey,13
verjon,Verjon,6
vernoux,Vernoux,7
versailleux,Versailleux,11
versonnex,Versonnex,9
vesancy,Vesancy,7
vescours,Vescours,8
vesines,Vésines,7
vieu,Vieu,4
vieu-d-izenave,Vieu-d'Izenave,14
villars-les-dombes,Villars-les-Dombes,18
villebois,Villebois,9
villemotier,Villemotier,11
villeneuve,Villeneuve,10
villereversure,Villereversure,14
villes,Villes,6
villette-sur-ain,Villette-sur-Ain,16
villieu-loyes-mollon,Villieu-Loyes-Mollon,20
viriat,Viriat,6
virieu-le-grand,Virieu-le-Grand,15
virieu-le-petit,Virieu-le-Petit,15
virignin,Virignin,8
vongnes,Vongnes,7
vonnas,Vonnas,6
abbecourt,Abbécourt,9
achery,Achery,6
acy,Acy,3
agnicourt-et-sechelles,Agnicourt-et-Séchelles,22
aguilcourt,Aguilcourt,10
aisonville-et-bernoville,Aisonville-et-Bernoville,24
aizelles,Aizelles,8
aizy-jouy,Aizy-Jouy,9
alaincourt,Alaincourt,10
allemant,Allemant,8
ambleny,Ambleny,7
ambrief,Ambrief,7
amifontaine,Amifontaine,11
amigny-rouy,Amigny-Rouy,11
ancienville,Ancienville,11
andelain,Andelain,8
anguilcourt-le-sart,Anguilcourt-le-Sart,19
anizy-le-chateau,Anizy-le-Château,16
annois,Annois,6
any-martin-rieux,Any-Martin-Rieux,16
archon,Archon,6
arcy-sainte-restitue,Arcy-Sainte-Restitue,20
armentieres-sur-ourcq,Armentières-sur-Ourcq,21
arrancy,Arrancy,7
artemps,Artemps,7
artonges,Artonges,8
assis-sur-serre,Assis-sur-Serre,15
athies-sous-laon,Athies-sous-Laon,16
attilly,Attilly,7
aubencheul-aux-bois,Aubencheul-aux-Bois,19
aubenton,Aubenton,8
aubigny-aux-kaisnes,Aubigny-aux-Kaisnes,19
aubigny-en-laonnois,Aubigny-en-Laonnois,19
audignicourt,Audignicourt,12
audigny,Audigny,7
augy,Augy,4
aulnois-sous-laon,Aulnois-sous-Laon,17
autremencourt,Autremencourt,13
autreppes,Autreppes,9
autreville,Autreville,10
azy-sur-marne,Azy-sur-Marne,13
bagneux,Bagneux,7
bancigny,Bancigny,8
barenton-bugny,Barenton-Bugny,14
barenton-cel,Barenton-Cel,12
barenton-sur-serre,Barenton-sur-Serre,18
barisis-aux-bois,Barisis-aux-Bois,16
barzy-en-thierache,Barzy-en-Thiérache,18
barzy-sur-marne,Barzy-sur-Marne,15
bassoles-aulers,Bassoles-Aulers,15
baulne-en-brie,Baulne-en-Brie,14
bazoches-sur-vesles,Bazoches-sur-Vesles,19
beaume,Beaumé,6
beaumont-en-beine,Beaumont-en-Beine,17
beaurevoir,Beaurevoir,10
beaurieux,Beaurieux,9
beautor,Beautor,7
beauvois-en-vermandois,Beauvois-en-Vermandois,22
becquigny,Becquigny,9
belleau,Belleau,7
bellenglise,Bellenglise,11
belleu,Belleu,6
bellicourt,Bellicourt,10
benay,Benay,5
bergues-sur-sambre,Bergues-sur-Sambre,18
berlancourt,Berlancourt,11
berlise,Berlise,7
bernot,Bernot,6
berny-riviere,Berny-Rivière,13
berrieux,Berrieux,8
berry-au-bac,Berry-au-Bac,12
bertaucourt-epourdon,Bertaucourt-Epourdon,20
berthenicourt,Berthenicourt,13
bertricourt,Bertricourt,11
berzy-le-sec,Berzy-le-Sec,12
besme,Besmé,5
besmont,Besmont,7
besny-et-loizy,Besny-et-Loizy,14
bethancourt-en-vaux,Béthancourt-en-Vaux,19
beugneux,Beugneux,8
beuvardes,Beuvardes,9
bezu-le-guery,Bézu-le-Guéry,13
bezu-saint-germain,Bézu-Saint-Germain,18
bichancourt,Bichancourt,11
bieuxy,Bieuxy,6
bievres,Bièvres,7
billy-sur-aisne,Billy-sur-Aisne,15
billy-sur-ourcq,Billy-sur-Ourcq,15
blanzy-les-fismes,Blanzy-lès-Fismes,17
blerancourt,Blérancourt,11
blesmes,Blesmes,7
bohain-en-vermandois,Bohain-en-Vermandois,20
bois-les-pargny,Bois-lès-Pargny,15
boncourt,Boncourt,8
bonneil,Bonneil,7
bonnesvalyn,Bonnesvalyn,11
bony,Bony,4
bosmont-sur-serre,Bosmont-sur-Serre,17
bouconville-vauclair,Bouconville-Vauclair,20
boue,Boué,4
bouffignereux,Bouffignereux,13
bouresches,Bouresches,10
bourg-et-comin,Bourg-et-Comin,14
bourguignon-sous-coucy,Bourguignon-sous-Coucy,22
bourguignon-sous-montbavin,Bourguignon-sous-Montbavin,26
braine,Braine,6
brancourt-en-laonnois,Brancourt-en-Laonnois,21
brancourt-le-grand,Brancourt-le-Grand,18
brasles,Brasles,7
bray-saint-christophe,Bray-Saint-Christophe,21
braye,Braye,5
braye-en-laonnois,Braye-en-Laonnois,17
braye-en-thierache,Braye-en-Thiérache,18
brecy,Brécy,5
brenelle,Brenelle,8
breny,Breny,5
brie,Brie,4
brissay-choigny,Brissay-Choigny,15
brissy-hamegicourt,Brissy-Hamégicourt,18
brumetz,Brumetz,7
brunehamel,Brunehamel,10
bruyeres-et-montberault,Bruyères-et-Montbérault,23
bruyeres-sur-fere,Bruyères-sur-Fère,17
bruys,Bruys,5
bucilly,Bucilly,7
bucy-le-long,Bucy-le-Long,12
bucy-les-cerny,Bucy-lès-Cerny,14
bucy-les-pierrepont,Bucy-lès-Pierrepont,19
buire,Buire,5
buironfosse,Buironfosse,11
burelles,Burelles,8
bussiares,Bussiares,9
buzancy,Buzancy,7
caillouel-crepigny,Caillouël-Crépigny,18
camelin,Camelin,7
castres,Castres,7
caulaincourt,Caulaincourt,12
caumont,Caumont,7
celles-les-conde,Celles-lès-Condé,16
celles-sur-aisne,Celles-sur-Aisne,16
cerizy,Cerizy,6
cerny-en-laonnois,Cerny-en-Laonnois,17
cerny-les-bucy,Cerny-lès-Bucy,14
cerseuil,Cerseuil,8
cessieres,Cessières,9
chacrise,Chacrise,8
chaillevois,Chaillevois,11
chalandry,Chalandry,9
chambry,Chambry,7
chamouille,Chamouille,10
champs,Champs,6
chaourse,Chaourse,8
charly-sur-marne,Charly-sur-Marne,16
charmes,Charmes,7
charteves,Chartèves,9
chassemy,Chassemy,8
chateau-thierry,Château-Thierry,15
chatillon-les-sons,Châtillon-lès-Sons,18
chatillon-sur-oise,Châtillon-sur-Oise,18
chaudardes,Chaudardes,10
chaudun,Chaudun,7
chauny,Chauny,6
chavignon,Chavignon,9
chavigny,Chavigny,8
chavonne,Chavonne,8
cheret,Chérêt,6
chermizy-ailles,Chermizy-Ailles,15
chery-chartreuve,Chéry-Chartreuve,16
chery-les-pouilly,Chéry-lès-Pouilly,17
chery-les-rozoy,Chéry-lès-Rozoy,15
chevennes,Chevennes,9
chevregny,Chevregny,9
chevresis-monceau,Chevresis-Monceau,17
chezy-en-orxois,Chézy-en-Orxois,15
chezy-sur-marne,Chézy-sur-Marne,15
chierry,Chierry,7
chigny,Chigny,6
chivres-en-laonnois,Chivres-en-Laonnois,19
chivres-val,Chivres-Val,11
chivy-les-etouvelles,Chivy-lès-Etouvelles,20
chouy,Chouy,5
cierges,Cierges,7
cilly,Cilly,5
ciry-salsogne,Ciry-Salsogne,13
clacy-et-thierret,Clacy-et-Thierret,17
clairfontaine,Clairfontaine,13
clamecy,Clamecy,7
clastres,Clastres,8
clermont-les-fermes,Clermont-les-Fermes,19
coeuvres-et-valsery,Coeuvres-et-Valsery,19
coincy,Coincy,6
coingt,Coingt,6
colligis-crandelain,Colligis-Crandelain,19
colonfay,Colonfay,8
commenchon,Commenchon,10
concevreux,Concevreux,10
conde-en-brie,Condé-en-Brie,13
conde-sur-aisne,Condé-sur-Aisne,15
conde-sur-suippe,Condé-sur-Suippe,16
condren,Condren,7
connigis,Connigis,8
contescourt,Contescourt,11
corbeny,Corbeny,7
corcy,Corcy,5
coucy-la-ville,Coucy-la-Ville,14
coucy-le-chateau-auffrique,Coucy-le-Château-Auffrique,26
coucy-les-eppes,Coucy-lès-Eppes,15
coulonges-cohan,Coulonges-Cohan,15
coupru,Coupru,6
courbes,Courbes,7
courboin,Courboin,8
courcelles-sur-vesle,Courcelles-sur-Vesle,20
courchamps,Courchamps,10
courmelles,Courmelles,10
courmont,Courmont,8
courtemont-varennes,Courtemont-Varennes,19
courtrizy-et-fussigny,Courtrizy-et-Fussigny,21
couvrelles,Couvrelles,10
couvron-et-aumencourt,Couvron-et-Aumencourt,21
coyolles,Coyolles,8
cramaille,Cramaille,9
craonne,Craonne,7
craonnelle,Craonnelle,10
crecy-au-mont,Crécy-au-Mont,13
crecy-sur-serre,Crécy-sur-Serre,15
crepy,Crépy,5
crezancy,Crézancy,8
croix-fonsomme,Croix-Fonsomme,14
crouttes-sur-marne,Crouttes-sur-Marne,18
crouy,Crouy,5
crupilly,Crupilly,8
cuffies,Cuffies,7
cugny,Cugny,5
cuirieux,Cuirieux,8
cuiry-housse,Cuiry-Housse,12
cuiry-les-chaudardes,Cuiry-lès-Chaudardes,20
cuiry-les-iviers,Cuiry-lès-Iviers,16
cuissy-et-geny,Cuissy-et-Geny,14
cuisy-en-almont,Cuisy-en-Almont,15
cutry,Cutry,5
cys-la-commune,Cys-la-Commune,14
dagny-lambercy,Dagny-Lambercy,14
dallon,Dallon,6
dammard,Dammard,7
dampleux,Dampleux,8
danizy,Danizy,6
dercy,Dercy,5
deuillet,Deuillet,8
dhuizel,Dhuizel,7
dizy-le-gros,Dizy-le-Gros,12
dohis,Dohis,5
dolignon,Dolignon,8
dommiers,Dommiers,8
domptin,Domptin,7
dorengt,Dorengt,7
douchy,Douchy,6
dravegny,Dravegny,8
droizy,Droizy,6
dury,Dury,4
ebouleau,Ebouleau,8
effry,Effry,5
englancourt,Englancourt,11
epagny,Epagny,6
eparcy,Eparcy,6
epaux-bezu,Epaux-Bézu,10
epieds,Epieds,6
eppes,Eppes,5
erlon,Erlon,5
erloy,Erloy,5
esqueheries,Esquéhéries,11
essigny-le-grand,Essigny-le-Grand,16
essigny-le-petit,Essigny-le-Petit,16
essises,Essises,7
essomes-sur-marne,Essômes-sur-Marne,17
estrees,Estrées,7
etampes-sur-marne,Etampes-sur-Marne,17
etaves-et-bocquiaux,Etaves-et-Bocquiaux,19
etouvelles,Etouvelles,10
etreaupont,Etréaupont,10
etreillers,Etreillers,10
etrepilly,Etrépilly,9
etreux,Etreux,6
evergnicourt,Evergnicourt,12
faucoucourt,Faucoucourt,11
faverolles,Faverolles,10
fayet,Fayet,5
fere-en-tardenois,Fère-en-Tardenois,17
fesmy-le-sart,Fesmy-le-Sart,13
festieux,Festieux,8
fieulaine,Fieulaine,9
filain,Filain,6
flavigny-le-grand-et-beaurain,Flavigny-le-Grand-et-Beaurain,29
flavy-le-martel,Flavy-le-Martel,15
fleury,Fleury,6
fluquieres,Fluquières,10
folembray,Folembray,9
fonsomme,Fonsomme,8
fontaine-les-clercs,Fontaine-lès-Clercs,19
fontaine-les-vervins,Fontaine-lès-Vervins,20
fontaine-notre-dame,Fontaine-Notre-Dame,19
fontaine-uterte,Fontaine-Uterte,15
fontenelle,Fontenelle,10
fontenelle-en-brie,Fontenelle-en-Brie,18
fontenoy,Fontenoy,8
foreste,Foreste,7
fossoy,Fossoy,6
fourdrain,Fourdrain,9
francilly-selency,Francilly-Selency,17
franqueville,Franqueville,12
fresnes,Fresnes,7
fresnes-en-tardenois,Fresnes-en-Tardenois,20
fresnoy-le-grand,Fresnoy-le-Grand,16
fressancourt,Fressancourt,12
frieres-faillouel,Frières-Faillouël,17
froidestrees,Froidestrées,12
froidmont-cohartille,Froidmont-Cohartille,20
gandelu,Gandelu,7
gauchy,Gauchy,6
gercy,Gercy,5
gergny,Gergny,6
germaine,Germaine,8
gernicourt,Gernicourt,10
gibercourt,Gibercourt,10
gizy,Gizy,4
gland,Gland,5
glennes,Glennes,7
goudelancourt-les-berrieux,Goudelancourt-lès-Berrieux,26
goudelancourt-les-pierrepont,Goudelancourt-lès-Pierrepont,28
goussancourt,Goussancourt,12
gouy,Gouy,4
grand-rozoy,Grand-Rozoy,11
grand-verly,Grand-Verly,11
grandlup-et-fay,Grandlup-et-Fay,15
grandrieux,Grandrieux,10
gricourt,Gricourt,8
grisolles,Grisolles,9
gronard,Gronard,7
grougis,Grougis,7
grugies,Grugies,7
guignicourt,Guignicourt,11
guise,Guise,5
guivry,Guivry,6
guny,Guny,4
guyencourt,Guyencourt,10
hannapes,Hannapes,8
happencourt,Happencourt,11
haramont,Haramont,8
harcigny,Harcigny,8
hargicourt,Hargicourt,10
harly,Harly,5
hartennes-et-taux,Hartennes-et-Taux,17
hary,Hary,4
hautevesnes,Hautevesnes,11
hauteville,Hauteville,10
haution,Haution,7
hinacourt,Hinacourt,9
hirson,Hirson,6
holnon,Holnon,6
homblieres,Homblières,10
houry,Houry,5
housset,Housset,7
iron,Iron,4
itancourt,Itancourt,9
iviers,Iviers,6
jaulgonne,Jaulgonne,9
jeancourt,Jeancourt,9
jeantes,Jeantes,7
joncourt,Joncourt,8
jouaignes,Jouaignes,9
jumencourt,Jumencourt,10
jumigny,Jumigny,7
jussy,Jussy,5
juvigny,Juvigny,7
juvincourt-et-damary,Juvincourt-et-Damary,20
l-epine-aux-bois,L'Epine-aux-Bois,16
la-bouteille,"La Bouteille",12
la-capelle,"La Capelle",10
la-celle-sous-montmirail,"La Celle-sous-Montmirail",24
la-chapelle-monthodon,"La Chapelle-Monthodon",21
la-chapelle-sur-chezy,"La Chapelle-sur-Chézy",21
la-croix-sur-ourcq,"La Croix-sur-Ourcq",18
la-fere,"La Fère",7
la-ferte-chevresis,"La Ferté-Chevresis",18
la-ferte-milon,"La Ferté-Milon",14
la-flamengrie,"La Flamengrie",13
la-herie,"La Hérie",8
la-malmaison,"La Malmaison",12
la-neuville-bosmont,"La Neuville-Bosmont",19
la-neuville-en-beine,"La Neuville-en-Beine",20
la-neuville-housset,"La Neuville-Housset",19
la-neuville-les-dorengt,"La Neuville-lès-Dorengt",23
la-selve,"La Selve",8
la-vallee-au-ble,"La Vallée-au-Blé",16
la-vallee-mulatre,"La Vallée-Mulâtre",17
la-ville-aux-bois-les-dizy,"La Ville-aux-Bois-lès-Dizy",26
la-ville-aux-bois-les-pontavert,"La Ville-aux-Bois-lès-Pontavert",31
laffaux,Laffaux,7
laigny,Laigny,6
lanchy,Lanchy,6
landifay-et-bertaignemont,Landifay-et-Bertaignemont,25
landouzy-la-cour,Landouzy-la-Cour,16
landouzy-la-ville,Landouzy-la-Ville,17
landricourt,Landricourt,11
laniscourt,Laniscourt,10
laon,Laon,4
