rewrite,gentile_h_ville,nbre_car
crottassi,Crottassi,9
crozati,Crozati,7
cruzillard,Cruzillard,10
culozien,Culozien,8
curciati,Curciati,8
cuziolan,Cuziolan,8
dagnard,Dagnard,7
divonnai,Divonnai,8
dommartinoi,Dommartinoi,11
dompierroi,Dompierroi,10
dompierroi,Dompierroi,10
domsuroi,Domsuroi,8
dortannai,Dortannai,9
douvroi,Douvroi,7
dromnier,Dromnier,8
druillati,Druillati,9
echallonnai,Echallonnai,11
chenevessien,Chenevessien,12
etrezien,Etrézien,8
evosgien,Evosgien,8
faramandard,Faramandard,11
farinoi,Farinoi,7
fargeoi,Fargeoi,7
feillendits,Feillendits,11
ferneysien,Ferneysien,10
flaxiolan,Flaxiolan,9
foissiati,Foissiati,9
franvernoi,Franvernoi,10
genolien,Génolien,8
germagnatis-ou-germanoi,"Germagnatis ou Germanoi",23
gessien,Gessien,7
gironnai,Gironnai,8
gorrevouti,Gorrevouti,10
corentin,Corentin,8
griegeoi,Griègeoi,8
grillerands,Grillerands,11
groissiati,Groissiati,10
guerinoi,Guerinoi,8
altacurcien,Altacurcien,11
hautevilloi,Hautevilloi,11
tiaque,Tiaque,6
illiati,Illiati,7
injolan,Injolan,7
izernoi,Izernoi,7
izieulants,Izieulants,10
jassannai,Jassannai,9
jasseronnai,Jasseronnai,11
jayati,Jayati,6
journanai,Journanai,9
joliacoi,Joliacoi,8
sussurien,Sussurien,9
abergementai,Abergementai,12
buissard,Buissard,8
burbanchoi,Burbanchoi,10
chatelardoi,Châtelardoi,11
tranclerien,Tranclérien,11
balmeran,Balméran,8
lagnolan,Lagnolan,8
laizien,Laizien,7
lalleyriatier,Lalleyriatier,13
lancranai,Lancranai,9
beguelin,Béguelin,8
perousard,Pérousard,9
lavortin,Lavortin,8
pofs,Pofs,4
montilien,Montilien,9
plantaysien,Plantaysien,11
poizatier,Poizatier,9
leazien,Léazien,7
lelerands,Lélerands,9
lentai,Lentai,6
neyrollan,Neyrollan,9
lescherouxien,Lescherouxien,13
leymentai,Leymentai,9
hospitalier,Hospitalier,11
lhuissar,Lhuissar,8
chicaneurs,Chicaneurs,10
lompniolan,Lompniolan,10
loyettain,Loyettain,9
lupercien,Lupercien,9
magnolan,Magnolan,8
maillati,Maillati,8
malafertoi,Malafertoi,10
mantenayron,Mantenayron,11
manziati,Manziati,8
marbozien,Marbozien,9
marignolan,Marignolan,10
marliozard,Marliozard,10
martignanai,Martignanai,11
masserot,Masserot,8
massignolants,Massignolants,13
matafelonai,Matafelonai,11
meillonnassien,Meillonnassien,14
messimien,Messimien,9
meximiard,Meximiard,9
mezeriati,Mézériati,9
mijolands,Mijolands,9
mionnezan,Mionnezan,9
miribelan,Miribelan,9
miselan,Miselan,7
montangers,Montangers,10
montcellien,Montcellien,11
montluiste,Montluiste,10
montmerloi,Montmerloi,10
montrealai,Montréalai,10
montreveloi,Montrevéloi,11
nantuatien,Nantuatien,10
nattageoi,Nattageoi,9
neuvilloi,Neuvilloi,9
neuvilloi,Neuvilloi,9
neyrolands,Neyrolands,10
nievrants,Nièvrants,9
onciolan,Onciolan,8
ordonnaxien,Ordonnaxien,11
ornesien,Ornésien,8
triolin,Triolin,7
oyonnaxien,Oyonnaxien,10
parcevin,Parcevin,8
parveran,Parveran,8
peronnai,Péronnai,8
peronnassien,Péronnassien,12
perougien,Pérougien,9
perrexien,Perrexien,9
peyriati,Peyriati,8
peyriolan,Peyriolan,9
pieziacoi,Piéziacoi,9
pirajellien,Pirajellien,11
pizolands,Pizolands,9
plagnard,Plagnard,8
polliati,Polliati,8
pollieutants,Pollieutants,12
poncinoi,Poncinoi,8
pondinoi,Pondinoi,8
pontevalloi,Pontevalloi,11
pont-de-veyloi,Pont-de-Veyloi,14
bedouin,Bédouin,7
pougnerands,Pougnerands,11
pouillati,Pouillati,9
premeyzelan,Prémeyzélan,11
pennon,Pennon,6
pressiati,Pressiati,9
premoennoi,Prémoënnoi,10
priaysien,Priaysien,9
pugiolan,Pugiolan,8
ramassard,Ramassard,9
ranceen,Rancéen,7
replongeard,Replongeard,11
rebennien,Rebennien,9
talanconnai,Talançonnai,11
reyssouli,Reyssouli,9
rignard,Rignard,7
rossillonnai,Rossillonnai,12
ruffiolan,Ruffiolan,9
bagesien,Bagésien,8
corcien,Corcien,7
benoitien,Benoitien,9
spinosien,Spinosien,9
sansolian,Sansolian,9
saint-cyrien,Saint-Cyrien,12
san-denien,San-Denien,10
sandenien,Sandenien,9
desiderien,Désidérien,10
desiderien,Désidérien,10
desiderien,Désidérien,10
santaloin,Santaloin,9
stephanoi,Stéphanoi,9
stephanoi,Stéphanoi,9
saint-genesien,Saint-Genésien,14
san-germinoi,San-Germinoi,12
saint-germinoi,Saint-Germinoi,14
gonvilloi,Gonvilloi,9
buyatin,Buyatin,7
thurignacien,Thurignacien,12
juliveyloi,Juliveyloi,10
saint-laurentin,Saint-Laurentin,15
marcellinoi,Marcellinoi,11
saint-martenants,Saint-Martenants,16
san-martinoi,San-Martinoi,12
saint-martinoi,Saint-Martinoi,14
mauricien,Mauricien,9
remensoi,Rémensoi,8
varaxoi,Varaxoi,7
rambertoi,Rambertoi,9
sanrimoi,Sanrimoi,8
saint-sorlinoi,Saint-Sorlinoi,14
trivicourtoi,Trivicourtoi,12
utingeoi,Utingeoi,8
villibadoi,Villibadoi,10
saint-cruzien,Saint-Cruzien,13
euphemien,Euphémien,9
samognati,Samognati,9
sandranai,Sandranai,9
sauvernien,Sauvernien,10
segnerands,Segnerands,10
sergien,Sergien,7
sermoyard,Sermoyard,9
serrieroi,Serrièroi,9
servassien,Servassien,10
seysselan,Seysselan,9
simandrin,Simandrin,9
songiolan,Songiolan,9
souclinoi,Souclinoi,9
surdiolan,Surdiolan,9
tarcholands,Tarcholands,11
tenaysien,Tenaysien,9
thiloi,Thiloi,6
thoirysien,Thoirysien,10
thoisseyen,Thoisseyen,10
torciolan,Torciolan,9
tossiati,Tossiati,8
toussinoi,Toussinoi,9
tramoyen,Tramoyen,8
treffortoi,Treffortoi,10
trevoltien,Trévoltien,10
varambonnai,Varambonnai,11
vauxoi,Vauxoi,6
verjonnai,Verjonnai,9
versonnexoi,Versonnexoi,11
vicusien,Vicusien,8
villardoi,Villardoi,9
villeboisien,Villeboisien,12
villemontoi,Villemontoi,11
villeneuvoi,Villeneuvoi,11
surannai,Surannai,8
villatus,Villatus,8
villetoi,Villetoi,8
villacucien,Villacucien,11
viriati,Viriati,7
viriolan,Viriolan,8
viriolan,Viriolan,8
vonnassien,Vonnassien,10
abbecourtoi,Abbecourtoi,11
acheryen,Acheryen,8
aceen,Acéen,5
aguilcourtoi,Aguilcourtoi,12
aisonvillois-et-bernovilloi,"Aisonvillois et Bernovilloi",27
aizelloi,Aizelloi,8
aizyjoi,Aizyjoi,7
alaincourtoi,Alaincourtoi,12
amblenoi,Amblenoi,8
ambrieroi,Ambriéroi,9
amifontenoi,Amifontenoi,11
amignyrouysien,Amignyrouysien,14
anguilcourtoi,Anguilcourtoi,13
anizien,Anizien,7
alnetuns,Alnetuns,8
archonai,Archonai,8
artempoi,Artempoi,8
artongeoi,Artongeoi,9
athissien,Athissien,9
attillien,Attillien,9
aubencheuloi,Aubencheuloi,12
aubentonnai,Aubentonnai,11
aubinoi,Aubinoi,7
albignyacoi,Albignyacoi,11
audignicourtoi,Audignicourtoi,14
audignoi,Audignoi,8
aulnoisien,Aulnoisien,10
autremencourtoi,Autremencourtoi,15
autrevillai,Autrevillai,11
azycien,Azycien,7
barentonai,Barentonai,10
barisien,Barisien,8
barzyen,Barzyen,7
bassoloi,Bassoloi,8
beaumeen,Beauméen,8
bellovisien,Bellovisien,11
beaurivoi,Beaurivoi,9
beautoroi,Beautoroi,9
beauvoisien,Beauvoisien,11
becquignoi,Becquignoi,10
bellenglisoi,Bellenglisoi,12
belleusien,Belleusien,10
bellicourtoi,Bellicourtoi,12
bernotoi,Bernotoi,8
berneen,Bernéen,7
berrieusien,Berrieusien,11
berryacoi,Berryacoi,9
bertaucourtoi,Bertaucourtoi,13
berthenicourtoi,Berthenicourtoi,15
bertricourtoi,Bertricourtoi,13
berzycien,Berzycien,9
besmontoi,Besmontoi,9
bethancourtoi,Béthancourtoi,13
beugneusien,Beugneusien,11
beuvardoi,Beuvardoi,9
bezuyat,Bézuyat,7
bezuacoi,Bézuacoi,8
bichancourtoi,Bichancourtoi,13
bieuxyoi,Bieuxyoi,8
bievroi,Bièvroi,7
billysien,Billysien,9
billyacoi,Billyacoi,9
blerancourtoi,Blérancourtoi,13
bohainoi,Bohainoi,8
sylvestrien,Sylvestrien,11
boncourtoi,Boncourtoi,10
bonneilloi,Bonneilloi,10
bosmontoi,Bosmontoi,9
bouconvilloi,Bouconvilloi,12
bouesien,Bouésien,8
bouffignereusien,Bouffignereusien,16
bourcominoi,Bourcominoi,11
brainoi,Brainoi,7
brancourtoi,Brancourtoi,11
brancourtoi,Brancourtoi,11
brasloi,Brasloi,7
brayoi,Brayoi,6
brayard,Brayard,7
brecoi,Bréçoi,6
brenelloi,Brenelloi,9
brioi,Brioi,5
brumetzien,Brumetzien,10
brunehameloi,Brunehameloi,12
bruyeroi,Bruyéroi,8
bruyeroi,Bruyéroi,8
bucilloi,Bucilloi,8
bucyquoi,Bucyquoi,8
bucyacoi,Bucyacoi,8
buiroi,Buiroi,6
buironfossoi,Buironfossoi,12
burelloi,Burelloi,8
buzanceen,Buzancéen,9
camelinoi,Camelinoi,9
castroi,Castroi,7
caulaincourtoi,Caulaincourtoi,14
caumontoi,Caumontoi,9
celloi,Celloi,6
cerseuilloi,Cerseuilloi,11
cessieroi,Cessièroi,9
chacrisoi,Chacrisoi,9
chaillevoisien,Chaillevoisien,14
chalandreen,Chalandréen,11
chambrysien,Chambrysien,11
chaoursien,Chaoursien,10
carlesien,Carlésien,9
charmoi,Charmoi,7
chartevoi,Chartévoi,9
chassemysien,Chassemysien,12
casteltheodoricien,Castelthéodoricien,18
chatillonnai,Châtillonnai,12
chatillonnai,Châtillonnai,12
chaudardai,Chaudardai,10
chaudunoi,Chaudunoi,9
chaunoi,Chaunoi,7
chavignonnai,Chavignonnai,12
chavignien,Chavignien,10
chermizyacoi,Chermizyacoi,12
chery-chartreuvoi,Chéry-Chartreuvoi,17
chevennoi,Chevennoi,9
chevresien,Chevrésien,10
cahusas,Cahusas,7
guernouillat,Guernouillat,12
cerisien,Cerisien,8
chivresien,Chivresien,10
chiviacussien,Chiviacussien,13
ciergeoi,Ciergeoi,8
cilloi,Cilloi,6
clastroi,Clastroi,8
coeuvreen,Coeuvréen,9
conciacien,Conciacien,10
commenchonoi,Commenchonoi,12
concevreusien,Concevreusien,13
condeen,Condéen,7
condeen,Condéen,7
condrinoi,Condrinoi,9
connigeoi,Connigeoi,9
corbenien,Corbenien,9
coucyssoi,Coucyssoi,9
coucycoi,Coucycoi,8
coulongeoi,Coulongeoi,10
couprusien,Couprusien,10
courmelloi,Courmelloi,10
varennoi,Varennoi,8
courtrizien,Courtrizien,11
coveronnai,Covéronnai,10
coyollai,Coyollai,8
craonnai,Craonnai,8
craonneloi,Craonneloi,10
crecoi,Créçoi,6
crepynoi,Crépynoi,8
crezancoi,Crézançoi,9
crucifonsommoi,Crucifonsommoi,14
crouttoi,Crouttoi,8
crouyssien,Crouyssien,10
cufficien,Cufficien,9
cuirolien,Cuirolien,9
cuiry-houssien,Cuiry-Houssien,14
cuiryen,Cuiryen,7
cuissyacoi,Cuissyacoi,10
montecussien,Montécussien,12
cutryacoi,Cutryacoi,9
dallonoi,Dallonoi,8
dammardoi,Dammardoi,9
damloupien,Damloupien,10
danizien,Danizien,8
dizoi,Dizoi,5
dommarien,Dommarien,9
domptinoi,Domptinoi,9
dorengtoi,Dorengtoi,9
douchissoi,Douchissoi,10
ebouleausien,Ebouleausien,12
spanicien,Spanicien,9
palusien,Palusien,8
spicarien,Spicarien,9
eppoi,Eppoi,5
erlonai,Erlonai,7
essignaquoi,Essignaquoi,11
essignyacoi,Essignyacoi,11
essisoi,Essisoi,7
essomoi,Essomoi,7
etampoi,Etampoi,7
etreaupontoi,Etréaupontoi,12
etreilloi,Etreilloi,9
etreusien,Etreusien,9
evergnicourtoi,Evergnicourtoi,14
fucoldcurtissien,Fucoldcurtissien,16
fayelloi,Fayelloi,8
feroi,Féroi,5
festeolien,Festéolien,10
fieulainoi,Fieulainoi,10
flavien,Flavien,7
fluquieroi,Fluquièroi,10
folembraysien,Folembraysien,13
fonsommoi,Fonsommoi,9
fontenelloi,Fontenelloi,11
fontenai,Fontenai,8
fontenovicien,Fontenovicien,13
fossoyen,Fossoyen,8
fourdrinoi,Fourdrinoi,10
francilloi,Francilloi,10
fresnoi,Fresnoi,7
fresnoysien,Fresnoysien,11
fressancourtoi,Fressancourtoi,14
frieroi,Frièroi,7
gandelusien,Gandelusien,11
gasiaquoi,Gasiaquoi,9
germainoi,Germainoi,9
gernicourtoi,Gernicourtoi,12
gizycien,Gizycien,8
glamoi,Glamoi,6
glennoi,Glennoi,7
goudelancourtoi,Goudelancourtoi,15
goudelancourtoi,Goudelancourtoi,15
goussancourtoi,Goussancourtoi,14
goicien,Goïcien,7
verlyssien,Verlyssien,10
grandlupoi,Grandlupoi,10
gricourtoi,Gricourtoi,10
grisolloi,Grisolloi,9
grugeoi,Grugeoi,7
guignicourtoi,Guignicourtoi,13
guisard,Guisard,7
guyencourtoi,Guyencourtoi,12
haramontoi,Haramontoi,10
hargicourtoi,Hargicourtoi,12
harlysien,Harlysien,9
hartennoi,Hartennoi,9
hautevesnoi,Hautevesnoi,11
hautevilloi,Hautevilloi,11
hirsonnai,Hirsonnai,9
holnonai,Holnonai,8
homblieroi,Hombliéroi,10
houssetoi,Houssetoi,9
ironnai,Ironnai,7
itancourtoi,Itancourtoi,11
jaulgonnai,Jaulgonnai,10
jeancourtoi,Jeancourtoi,11
joncourtoi,Joncourtoi,10
jumencourtoi,Jumencourtoi,12
jumignyacoi,Jumignyacoi,11
jovinien,Jovinien,8
juvincourtoi,Juvincourtoi,12
capelloi,Capelloi,8
odonien,Odonien,7
laferoi,Laféroi,7
fertoi,Fertoi,6
milonai,Milonai,7
flamengroi,Flamengroi,10
malmaisonai,Malmaisonai,11
selvoi,Selvoi,6
valmuletier,Valmuletier,11
villeboisien,Villeboisien,12
flaconier,Flaconier,9
landouzien,Landouzien,10
laonnoi,Laonnoi,7
lappionnai,Lappionnai,10
launoyen,Launoyen,8
laversinoi,Laversinoi,10
catelesien,Catelésien,10
le-haucourtoi,"Le Haucourtoi",13
nouvionnai,Nouvionnai,10
sourdoi,Sourdoi,7
virgultoi,Virgultoi,9
elmeroi,Elméroi,7
lempiroi,Lempiroi,8
lerzyen,Lerzyen,7
auteloi,Auteloi,7
leschelloi,Leschelloi,10
lesdinoi,Lesdinoi,8
lesquielloi,Lesquielloi,11
leuilloi,Leuilloi,8
levergeoi,Levergeoi,9
liessoi,Liessoi,7
liezoi,Liezoi,6
lisletoi,Lisletoi,8
lizien,Lizien,6
longipontain,Longipontain,12
longuevalloi,Longuevalloi,12
loriot,Loriot,6
loupeignoi,Loupeignoi,10
berlot,Berlot,6
luzoirien,Luzoirien,9
machecourtoi,Mâchecourtoi,12
macquignyquoi,Macquignyquoi,13
magnyfossien,Magnyfossien,12
maissemiacoi,Maissemiacoi,12
maziacai,Maziacai,8
manicampoi,Manicampoi,10
marchaisien,Marchaisien,11
mareuilloi,Mareuilloi,10
marloi,Marloi,6
marlysien,Marlysien,9
mals-peignes,Mals-Peignés,12
mauregnycien,Mauregnycien,12
mayotain,Mayotain,8
mennevilloi,Mennevilloi,11
mennevrezien,Mennevrézien,12
mercinoi,Mercinoi,8
merilocien,Mérilocien,10
mesbrecourtoi,Mesbrecourtoi,13
meurivaloi,Meurivaloi,10
macerien,Macérien,8
missyacoi,Missyacoi,9
axo-missien,Axo-Missien,11
lupimoncellien,Lupimoncellien,14
monceen,Moncéen,7
mondrepuisien,Mondrepuisien,13
montoi,Montoi,6
orignyquoi,Orignyquoi,10
mont-nostradamien,Mont-Nostradamien,17
montepierrin,Montépierrin,12
montacutain,Montacutain,11
montbavinoi,Montbavinoi,11
montbrehainoi,Montbrehainoi,13
montcornetoi,Montcornetoi,12
montescourtoi,Montescourtoi,13
montgobertoi,Montgobertoi,12
montgruain,Montgruain,10
monthieroi,Monthiéroi,10
monthurelloi,Monthurelloi,12
montignyaquoi,Montignyaquoi,13
ignymontain,Ignymontain,11
montignai,Montignai,9
montlevonicien,Montlevonicien,14
montreuilloi,Montreuilloi,12
morcourtoi,Morcourtoi,10
morsainoi,Morsainoi,9
mortefontainoi,Mortefontainoi,14
moulinoi,Moulinoi,8
moussyacoi,Moussyacoi,10
muretain,Muretain,8
muscourtoi,Muscourtoi,10
nantolien,Nantolien,9
nauroisien,Nauroisien,10
nesloi,Nesloi,6
neufchateloi,Neufchâteloi,12
frontonnai,Frontonnai,10
neuve-maisonnai,Neuve-Maisonnai,15
neuvilloi,Neuvilloi,9
neuvilloi,Neuvilloi,9
nizioi,Nizioi,6
nogentai,Nogentai,8
nogentelloi,Nogentelloi,11
noroisien,Noroisien,9
nouvionnai,Nouvionnai,10
nouvionnai,Nouvionnai,10
nouvronnai,Nouvronnai,10
noyantai,Noyantai,8
uliacoi,Uliacoi,7
ognoi,Ognoi,5
ohissoi,Ohissoi,7
ogniacien,Ogniacien,9
oiseen,Oiséen,6
ulmissien,Ulmissien,9
orainvilloi,Orainvilloi,11
aurinien,Aurinien,8
orignaquoi,Orignaquoi,10
ulcheen,Ulchéen,7
paareen,Paaréen,7
paissoi,Paissoi,7
pancyacoi,Pancyacoi,9
papleusien,Papleusien,10
parcyacoi,Parcyacoi,9
pargnantai,Pargnantai,10
pargnysien,Pargnysien,10
pargnysien,Pargnysien,10
paslysien,Paslysien,9
pavanai,Pavanai,7
perloi,Perloi,6
pernantai,Pernantai,9
verlyzien,Verlyzien,9
pierremandoi,Pierremandoi,12
pierrepontoi,Pierrepontoi,12
pignicourtoi,Pignicourtoi,12
pinonai,Pinonai,7
pithonai,Pithonai,8
plomionai,Plomionai,9
ployartai,Ployartai,9
pommeramien,Pommeramien,11
saint-mard-pontain,Saint-Mard-Pontain,18
pontavertoi,Pontavertoi,11
russipontain,Russipontain,12
pontruetoi,Pontruétoi,10
pauliacien,Pauliacien,10
premontoi,Prémontoi,9
premontroi,Prémontroi,10
presloi,Presloi,7
presloi,Presloi,7
prouvaisien,Prouvaisien,11
provisiolain,Provisiolain,12
podiscain,Podiscain,9
puteolien,Putéolien,9
cherizien,Cherizien,9
quinciacoi,Quinciacoi,10
raillimontoi,Raillimontoi,12
ramicourtoi,Ramicourtoi,11
regniaquoi,Regniaquoi,10
remaucourtoi,Remaucourtoi,12
remignoi,Remignoi,8
renansartoi,Renansartoi,11
rennevaloi,Rennevaloi,10
resignien,Résignien,9
ressonnai,Ressonnai,9
retheuilloi,Retheuilloi,11
revillois-et-sauvignat,"Révillois et Sauvignat",22
revillonai,Révillonai,10
ribemontoi,Ribemontoi,10
rocourtoi,Rocourtoi,9
rocquignien,Rocquignien,11
rogecourtoi,Rogécourtoi,11
romenyat,Romenyat,8
romain,Romain,6
roucyen,Roucyen,7
royaucourtoi,Royaucourtoi,12
rozieroi,Roziéroi,8
rostands,Rostands,8
saconoi,Saconoi,7
sainsoi,Sainsoi,7
augisoi,Augisoi,7
blaises,Blaises,7
saint-christophoi,Saint-Christophoi,17
saint-ermoi,Saint-Ermoi,11
saint-eugenoi,Saint-Eugénoi,13
saint-gengoulphoi,Saint-Gengoulphoi,17
gobanai,Gobanai,7
saint-gobertoi,Saint-Gobertoi,14
saint-michelloi,Saint-Michelloi,15
saint-pierroi,Saint-Pierroi,13
saint-quentinoi,Saint-Quentinoi,15
saint-simonien,Saint-Simonien,14
saint-thomasien,Saint-Thomasien,15
saint-croisien,Saint-Croisien,14
sainte-preuvien,Sainte-Preuvien,15
sancysien,Sancysien,9
saulcherien,Saulcherien,11
savignon,Savignon,8
seboncourtoi,Seboncourtoi,12
septmontoi,Septmontoi,10
septvalien,Septvalien,10
sequehartoi,Sequehartoi,11
serainoi,Serainoi,8
seraucourtoi,Seraucourtoi,12
serchoi,Serchoi,7
sermoisien,Sermoisien,10
serysien,Sérysien,8
sincenoi,Sincenoi,8
sissonnai,Sissonnai,9
sissiaquoi,Sissiaquoi,10
soissonnai,Soissonnai,10
sorbaisien,Sorbaisien,10
sulceen,Sulcéen,7
taveloi,Taveloi,7
ternoi,Ternoi,6
thenelloi,Thenelloi,9
toulisien,Toulisien,9
travecyen,Travecyen,9
trefconnai,Trefconnai,10
trucyen,Trucyen,7
tupignien,Tupignien,9
urceloi,Urceloi,7
urvilloi,Urvilloi,8
vadencourtoi,Vadencourtoi,12
vaillysien,Vaillysien,10
variscourtoi,Variscourtoi,12
vassognai,Vassognai,9
vaucelloi,Vaucelloi,9
vaudessonnai,Vaudessonnai,12
vauxoi,Vauxoi,6
vauxaillonnai,Vauxaillonnai,13
vauxbuinoi,Vauxbuinoi,10
malresien,Malrésien,9
vendelloi,Vendelloi,9
vendeuilloi,Vendeuilloi,11
vendolesien,Vendolésien,11
vendressoi,Vendressoi,10
venerollai,Vénérollai,10
venizelloi,Venizelloi,10
verdillat,Verdillat,9
vermandoi,Vermandoi,9
verneuilloi,Verneuilloi,11
versignien,Versignien,10
vervinoi,Vervinoi,8
vesloi,Vesloi,6
vezaponien,Vézaponien,10
vicoi,Vicoi,5
vicheloi,Vicheloi,8
vieux-montoi,Vieux-Montoi,12
vierzoi,Vierzoi,7
viffortoi,Viffortoi,9
villemontoirien,Villemontoirien,15
villeneuvoi,Villeneuvoi,11
genlisien,Genlisien,9
villeretoi,Villeretoi,10
cotterezien,Cotterézien,11
villeroi,Villeroi,8
villeroi,Villeroi,8
villieroi,Villiéroi,9
viroi,Viroi,5
vivaisoi,Vivaisoi,8
vivieroi,Viviéroi,8
vorgien,Vorgien,7
voulpaisien,Voulpaisien,11
voyennai,Voyennai,8
vregnysien,Vregnysien,10
wassignien,Wassignien,10
wimyen,Wimyen,6
wissignicourtoi,Wissignicourtoi,15
abrestoi,Abrestoi,8
agongeoi,Agongeoi,8
castelainaisien,Castelainaisien,15
andelarochoi,Andelarochoi,12
archignacoi,Archignacoi,11
arfeuillat,Arfeuillat,10
arpheuillai,Arpheuillai,11
arronnai,Arronnai,8
audoi,Audoi,5
auroueroi,Aurouëroi,9
issardien,Issardien,9
avermoi,Avermoi,7
avrilloi,Avrilloi,8
bagnolai,Bagnolai,8
barraisien,Barraisien,10
bayetoi,Bayétoi,7
beaulonnai,Beaulonnai,10
beaunoi,Beaunoi,7
beguoi,Béguoi,6
bellenavoi,Bellenavoi,10
bellerivoi,Bellerivoi,10
bertoi,Bertoi,6
bessaytoi,Bessaytoi,9
bessonnai,Bessonnai,9
bezenetoi,Bézenétoi,9
billezoissien,Billezoissien,13
billyssoi,Billyssoi,9
biozatoi,Biozatoi,8
bizeneuilloi,Bizeneuilloi,12
blomardai,Blomardai,9
bostoi,Bostoi,6
bourbonnai,Bourbonnai,10
braizoi,Braizoi,7
bransatoi,Bransatoi,9
brenaissoi,Brénaissoi,10
bressolloi,Bressolloi,10
brout-vernetoi,Broût-Vernetoi,14
brugheassoi,Brugheassoi,11
bussetoi,Bussétoi,8
buxieroi,Buxiéroi,8
cerilloi,Cérilloi,8
cessetoi,Cessetoi,8
chamberatoi,Chambératoi,11
chambletoi,Chambletoi,10
chantelloi,Chantelloi,10
chapeautoi,Chapeautoi,10
chappoi,Chappoi,7
chareilloi,Chareilloi,10
charmeilloi,Charmeilloi,11
charmoi,Charmoi,7
charloi,Charloi,7
chassenardai,Chassenardai,12
castelmontbelloi,Castelmontbelloi,16
casteldeneuvroi,Casteldeneuvroi,15
chateloi,Châteloi,8
chatelperronai,Châtelperronai,14
castellucien,Castellucien,12
chatillonnoi,Châtillonnoi,12
chavenonnai,Chavenonnai,11
chavrochoi,Chavrochoi,10
chemillyssoi,Chemillyssoi,12
chevagnoi,Chevagnoi,9
chezelloi,Chezelloi,9
chezissoi,Chezissoi,9
chiratoi,Chiratoi,8
calvinien,Calvinien,9
cindreen,Cindréen,8
cognatoi,Cognatoi,8
colombarien,Colombarien,11
commentryen,Commentryen,11
contignyssoi,Contignyssoi,12
cosnoi,Cosnoi,6
coulandonnai,Coulandonnai,12
coulangeoi,Coulangeoi,10
couleuvroi,Couleuvroi,10
courcillot,Courcillot,10
sabotier,Sabotier,8
couzonnai,Couzonnai,9
crechyssoi,Créchyssoi,10
cressangeoi,Cressangeoi,11
creuzieroi,Creuziéroi,10
creuzieroi,Creuziéroi,10
cussetoi,Cussetoi,8
deneuilloi,Deneuilloi,10
deneuilloi,Deneuilloi,10
biachets,Biachets,8
