rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
corlieron,Corlieron,,9
cormaranchois,Cormaranchois,,13
cormoranchois,Cormoranchois,,13
cormozien,Cormozien,,9
curtivessien,Curtivessien,,12
curtimengien,Curtimengien,,12
crassois,Crassois,,8
crottassi,Crottassis,,9
crozati,Crozatis,,7
cruzillard,Cruzillard,,10
culozien,Culozien,,8
curciati,Curciatis,,8
cuziolan,Cuziolan,,8
dagnard,Dagnard,,7
divonnais,Divonnais,,9
dommartinois,Dommartinois,,12
dompierrois,Dompierrois,,11
dompierrois,Dompierrois,,11
domsurois,Domsurois,,9
dortannais,Dortannais,,10
douvrois,Douvrois,,8
dromnier,Dromniers,,8
druillati,Druillatis,,9
echallonnais,Echallonnais,,12
chenevessien,Chenevessien,,12
etrezien,Etrézien,,8
evosgien,Evosgien,,8
faramandard,Faramandard,,11
farinois,Farinois,,8
fargeois,Fargeois,,8
feillendit,Feillendits,,10
ferneysien,Ferneysien,,10
flaxiolan,Flaxiolan,,9
foissiati,Foissiatis,,9
franvernois,Franvernois,,11
genolien,Génolien,,8
germanois,Germanois,,9
gessien,Gessien,,7
gironnais,Gironnais,,9
gorrevouti,Gorrevoutis,,10
corentin,Corentin,,8
griegeois,Griègeois,,9
grillerand,Grillerands,,10
groissiati,Groissiatis,,10
guerinois,Guerinois,,9
altacurcien,Altacurcien,,11
hautevillois,Hautevillois,,12
tiaque,Tiaque,,6
illiati,Illiatis,,7
injolan,Injolan,,7
izernois,Izernois,,8
izieulant,Izieulants,,9
jassannais,Jassannais,,10
jasseronnais,Jasseronnais,,12
jayati,Jayatis,,6
journanais,Journanais,,10
joliacois,Joliacois,,9
sussurien,Sussurien,,9
abergementais,Abergementais,,13
buissard,Buissard,,8
burbanchois,Burbanchois,,11
chatelardois,Châtelardois,,12
tranclerien,Tranclérien,,11
balmeran,Balméran,,8
lagnolan,Lagnolan,,8
laizien,Laizien,,7
lalleyriatier,Lalleyriatiers,,13
lancranais,Lancranais,,10
beguelin,Béguelin,,8
perousard,Pérousard,,9
lavortin,Lavortin,,8
pof,Pofs,,3
montilien,Montilien,,9
plantaysien,Plantaysien,,11
poizatier,Poizatiers,,9
leazien,Léazien,,7
lelerand,Lélerands,,8
lentais,Lentais,,7
neyrollan,Neyrollan,,9
lescherouxien,Lescherouxien,,13
leymentais,Leymentais,,10
hospitalier,Hospitaliers,,11
lhuissar,Lhuissar,,8
chicaneur,Chicaneurs,,9
lompniolan,Lompniolan,,10
loyettain,Loyettain,,9
lupercien,Lupercien,,9
magnolan,Magnolan,,8
maillati,Maillatis,,8
malafertois,Malafertois,,11
mantenayron,Mantenayron,,11
manziati,Manziatis,,8
marbozien,Marbozien,,9
marignolan,Marignolan,,10
marliozard,Marliozard,,10
martignanais,Martignanais,,12
masserot,Masserot,,8
massignolant,Massignolants,,12
matafelonais,Matafelonais,,12
meillonnassien,Meillonnassien,,14
messimien,Messimien,,9
meximiard,Meximiard,,9
massignolant,Mézériatis,,12
mijoland,Mijolands,,8
mionnezan,Mionnezan,,9
miribelan,Miribelan,,9
miselan,Miselan,,7
mijoland,Montangers,,8
montcellien,Montcellien,,11
montluiste,Montluiste,,10
montmerlois,Montmerlois,,11
montrealais,Montréalais,,11
montrevelois,Montrevélois,,12
nantuatien,Nantuatien,,10
nattageois,Nattageois,,10
neuvillois,Neuvillois,,10
neuvillois,Neuvillois,,10
neyroland,Neyrolands,,9
neyroland,Nièvrants,,9
onciolan,Onciolan,,8
ordonnaxien,Ordonnaxien,,11
ornesien,Ornésien,,8
triolin,Triolin,,7
oyonnaxien,Oyonnaxien,,10
parcevin,Parcevin,,8
parveran,Parveran,,8
peronnais,Péronnais,,9
peronnassien,Péronnassien,,12
perougien,Pérougien,,9
perrexien,Perrexien,,9
peyriati,Peyriatis,,8
peyriolan,Peyriolan,,9
pieziacois,Piéziacois,,10
pirajellien,Pirajellien,,11
pizoland,Pizolands,,8
plagnard,Plagnard,,8
polliati,Polliatis,,8
pollieutant,Pollieutants,,11
poncinois,Poncinois,,9
pondinois,Pondinois,,9
pontevallois,Pontevallois,,12
pont-de-veylois,Pont-de-Veylois,
bedouin,Bédouin,,7
pougnerands,Pougnerands,,11
pouillati,Pouillatis,,9
premeyzelan,Prémeyzélan,,11
pennon,Pennon,,6
pressiati,Pressiatis,,9
premoennois,Prémoënnois,,11
priaysien,Priaysien,,9
pugiolan,Pugiolan,,8
ramassard,Ramassard,,9
ranceen,Rancéen,,7
replongeard,Replongeard,,11
rebennien,Rebennien,,9
talanconnais,Talançonnais,,12
reyssouli,Reyssoulis,,9
rignard,Rignard,,7
rossillonnais,Rossillonnais,,13
ruffiolan,Ruffiolan,,9
bagesien,Bagésien,,8
corcien,Corcien,,7
benoitien,Benoitien,,9
spinosien,Spinosien,,9
sansolian,Sansolian,,9
saint-cyrien,Saint-Cyrien,
san-denien,San-Denien,
sandenien,Sandenien,,9
desiderien,Désidérien,,10
desiderien,Désidérien,,10
desiderien,Désidérien,,10
santaloin,Santaloin,,9
stephanois,Stéphanois,,10
stephanois,Stéphanois,,10
saint-genesien,Saint-Genésien,
san-germinois,San-Germinois,
saint-germinois,Saint-Germinois,
gonvillois,Gonvillois,,10
buyatin,Buyatin,,7
thurignacien,Thurignacien,,12
juliveylois,Juliveylois,,11
saint-laurentin,Saint-Laurentin,
marcellinois,Marcellinois,,12
saint-martenant,Saint-Martenants,
san-martinois,San-Martinois,
saint-martinois,Saint-Martinois,
mauricien,Mauricien,,9
remensois,Rémensois,,9
varaxois,Varaxois,,8
rambertois,Rambertois,,10
sanrimois,Sanrimois,,9
saint-sorlinois,Saint-Sorlinois,
trivicourtois,Trivicourtois,,13
utingeois,Utingeois,,9
villibadois,Villibadois,,11
saint-cruzien,Saint-Cruzien,
euphemien,Euphémien,,9
samognati,Samognatis,,9
sandranais,Sandranais,,10
sauvernien,Sauvernien,,10
segnerand,Segnerands,,9
sergien,Sergien,,7
sermoyard,Sermoyard,,9
serrierois,Serrièrois,,10
servassien,Servassien,,10
seysselan,Seysselan,,9
simandrin,Simandrin,,9
songiolan,Songiolan,,9
souclinois,Souclinois,,10
surdiolan,Surdiolan,,9
tarcholand,Tarcholands,,10
tenaysien,Tenaysien,,9
thilois,Thilois,,7
thoirysien,Thoirysien,,10
thoisseyen,Thoisseyens,,10
torciolan,Torciolan,,9
tossiati,Tossiatis,,8
toussinois,Toussinois,,10
tramoyen,Tramoyens,,8
treffortois,Treffortois,,11
trevoltien,Trévoltien,,10
varambonnais,Varambonnais,,12
vauxois,Vauxois,,7
verjonnais,Verjonnais,,10
versonnexois,Versonnexois,,12
vicusien,Vicusien,,8
villardois,Villardois,,10
villeboisien,Villeboisien,,12
villemontois,Villemontois,,12
villeneuvois,Villeneuvois,,12
surannais,Surannais,,9
tramoyen,Villatus,,8
villetois,Villetois,,9
villacucien,Villacucien,,11
viriati,Viriatis,,7
viriolan,Viriolan,,8
viriolan,Viriolan,,8
vonnassien,Vonnassien,,10
abbecourtois,Abbecourtois,,12
acheryen,Acheryens,,8
aceen,Acéen,,5
aguilcourtois,Aguilcourtois,,13
aisonvilloises-et-bernovillois,"Aisonvillois et Bernovillois",
aizellois,Aizellois,,9
aizyjois,Aizyjois,,8
alaincourtois,Alaincourtois,,13
amblenois,Amblenois,,9
ambrierois,Ambriérois,,10
amifontenois,Amifontenois,,12
amignyrouysien,Amignyrouysien,,14
anguilcourtois,Anguilcourtois,,14
anizien,Anizien,,7
alnetun,Alnetuns,,7
archonais,Archonais,,9
artempois,Artempois,,9
artongeois,Artongeois,,10
athissien,Athissien,,9
attillien,Attillien,,9
aubencheulois,Aubencheulois,,13
aubentonnais,Aubentonnais,,12
aubinois,Aubinois,,8
albignyacois,Albignyacois,,12
audignicourtois,Audignicourtois,,15
audignois,Audignois,,9
aulnoisien,Aulnoisien,,10
autremencourtois,Autremencourtois,,16
autrevillais,Autrevillais,,12
azycien,Azycien,,7
barentonais,Barentonais,,11
barisien,Barisien,,8
barzyen,Barzyens,,7
bassolois,Bassolois,,9
beaumeen,Beauméen,,8
bellovisien,Bellovisien,,11
beaurivois,Beaurivois,,10
beautorois,Beautorois,,10
beauvoisien,Beauvoisien,,11
becquignois,Becquignois,,11
bellenglisois,Bellenglisois,,13
belleusien,Belleusien,,10
bellicourtois,Bellicourtois,,13
bernotois,Bernotois,,9
berneen,Bernéen,,7
berrieusien,Berrieusien,,11
berryacois,Berryacois,,10
bertaucourtois,Bertaucourtois,,14
berthenicourtois,Berthenicourtois,,16
bertricourtois,Bertricourtois,,14
berzycien,Berzycien,,9
besmontois,Besmontois,,10
bethancourtois,Béthancourtois,,14
beugneusien,Beugneusien,,11
beuvardois,Beuvardois,,10
bezuyat,Bézuyat,,7
bezuacois,Bézuacois,,9
bichancourtois,Bichancourtois,,14
bieuxyois,Bieuxyois,,9
bievrois,Bièvrois,,8
billysien,Billysien,,9
billyacois,Billyacois,,10
blerancourtois,Blérancourtois,,14
bohainois,Bohainois,,9
sylvestrien,Sylvestrien,,11
boncourtois,Boncourtois,,11
bonneillois,Bonneillois,,11
bosmontois,Bosmontois,,10
bouconvillois,Bouconvillois,,13
bouesien,Bouésien,,8
bouffignereusien,Bouffignereusien,,16
bourcominois,Bourcominois,,12
brainois,Brainois,,8
brancourtois,Brancourtois,,12
brancourtois,Brancourtois,,12
braslois,Braslois,,8
brayois,Brayois,,7
brayard,Brayard,,7
brecois,Bréçois,,7
brenellois,Brenellois,,10
briois,Briois,,6
brumetzien,Brumetzien,,10
brunehamelois,Brunehamelois,,13
bruyerois,Bruyérois,,9
bruyerois,Bruyérois,,9
bucillois,Bucillois,,9
bucyquois,Bucyquois,,9
bucyacois,Bucyacois,,9
buirois,Buirois,,7
buironfossois,Buironfossois,,13
burellois,Burellois,,9
buzanceen,Buzancéen,,9
camelinois,Camelinois,,10
castrois,Castrois,,8
caulaincourtois,Caulaincourtois,,15
caumontois,Caumontois,,10
cellois,Cellois,,7
cerseuillois,Cerseuillois,,12
cessierois,Cessièrois,,10
chacrisois,Chacrisois,,10
chaillevoisien,Chaillevoisien,,14
chalandreen,Chalandréen,,11
chambrysien,Chambrysien,,11
chaoursien,Chaoursien,,10
carlesien,Carlésien,,9
charmois,Charmois,,8
chartevois,Chartévois,,10
chassemysien,Chassemysien,,12
casteltheodoricien,Castelthéodoricien,,18
chatillonnais,Châtillonnais,,13
chatillonnais,Châtillonnais,,13
chaudardais,Chaudardais,,11
chaudunois,Chaudunois,,10
chaunois,Chaunois,,8
chavignonnais,Chavignonnais,,13
chavignien,Chavignien,,10
chermizyacois,Chermizyacois,,13
chery-chartreuvois,Chéry-Chartreuvois,
chevennois,Chevennois,,10
chevresien,Chevrésien,,10
cahusa,Cahusas,,6
guernouillat,Guernouillat,,12
cerisien,Cerisien,,8
chivresien,Chivresien,,10
chiviacussien,Chiviacussien,,13
ciergeois,Ciergeois,,9
cillois,Cillois,,7
clastrois,Clastrois,,9
coeuvreen,Coeuvréen,,9
conciacien,Conciacien,,10
commenchonois,Commenchonois,,13
concevreusien,Concevreusien,,13
condeen,Condéen,,7
condeen,Condéen,,7
condrinois,Condrinois,,10
connigeois,Connigeois,,10
corbenien,Corbenien,,9
coucyssois,Coucyssois,,10
coucycois,Coucycois,,9
coulongeois,Coulongeois,,11
couprusien,Couprusien,,10
courmellois,Courmellois,,11
varennois,Varennois,,9
courtrizien,Courtrizien,,11
coveronnais,Covéronnais,,11
coyollais,Coyollais,,9
craonnais,Craonnais,,9
craonnelois,Craonnelois,,11
crecois,Créçois,,7
crepynois,Crépynois,,9
crezancois,Crézançois,,10
crucifonsommois,Crucifonsommois,,15
crouttois,Crouttois,,9
crouyssien,Crouyssien,,10
cufficien,Cufficien,,9
cuirolien,Cuirolien,,9
cuiry-houssien,Cuiry-Houssien,
cuiryen,Cuiryens,,7
cuissyacois,Cuissyacois,,11
montecussien,Montécussien,,12
cutryacois,Cutryacois,,10
dallonois,Dallonois,,9
dammardois,Dammardois,,10
damloupien,Damloupien,,10
danizien,Danizien,,8
dizois,Dizois,,6
dommarien,Dommarien,,9
domptinois,Domptinois,,10
dorengtois,Dorengtois,,10
douchissois,Douchissois,,11
ebouleausien,Ebouleausien,,12
spanicien,Spanicien,,9
palusien,Palusien,,8
spicarien,Spicarien,,9
eppois,Eppois,,6
erlonais,Erlonais,,8
essignaquois,Essignaquois,,12
essignyacois,Essignyacois,,12
essisois,Essisois,,8
essomois,Essomois,,8
etampois,Etampois,,8
etreaupontois,Etréaupontois,,13
etreillois,Etreillois,,10
etreusien,Etreusien,,9
evergnicourtois,Evergnicourtois,,15
fucoldcurtissien,Fucoldcurtissien,,16
fayellois,Fayellois,,9
ferois,Férois,,6
festeolien,Festéolien,,10
fieulainois,Fieulainois,,11
flavien,Flavien,,7
fluquierois,Fluquièrois,,11
folembraysien,Folembraysien,,13
fonsommois,Fonsommois,,10
fontenellois,Fontenellois,,12
fontenais,Fontenais,,9
fontenovicien,Fontenovicien,,13
fossoyen,Fossoyens,,8
fourdrinois,Fourdrinois,,11
francillois,Francillois,,11
fresnois,Fresnois,,8
fresnoysien,Fresnoysien,,11
fressancourtois,Fressancourtois,,15
frierois,Frièrois,,8
gandelusien,Gandelusien,,11
gasiaquois,Gasiaquois,,10
germainois,Germainois,,10
gernicourtois,Gernicourtois,,13
gizycien,Gizycien,,8
glamois,Glamois,,7
glennois,Glennois,,8
goudelancourtois,Goudelancourtois,,16
goudelancourtois,Goudelancourtois,,16
goussancourtois,Goussancourtois,,15
goicien,Goïcien,,7
verlyssien,Verlyssien,,10
grandlupois,Grandlupois,,11
gricourtois,Gricourtois,,11
grisollois,Grisollois,,10
grugeois,Grugeois,,8
guignicourtois,Guignicourtois,,14
guisard,Guisard,,7
guyencourtois,Guyencourtois,,13
haramontois,Haramontois,,11
hargicourtois,Hargicourtois,,13
harlysien,Harlysien,,9
hartennois,Hartennois,,10
hautevesnois,Hautevesnois,,12
hautevillois,Hautevillois,,12
hirsonnais,Hirsonnais,,10
holnonais,Holnonais,,9
homblierois,Hombliérois,,11
houssetois,Houssetois,,10
ironnais,Ironnais,,8
itancourtois,Itancourtois,,12
jaulgonnais,Jaulgonnais,,11
jeancourtois,Jeancourtois,,12
joncourtois,Joncourtois,,11
jumencourtois,Jumencourtois,,13
jumignyacois,Jumignyacois,,12
jovinien,Jovinien,,8
juvincourtois,Juvincourtois,,13
capellois,Capellois,,9
odonien,Odonien,,7
laferois,Laférois,,8
fertois,Fertois,,7
milonais,Milonais,,8
flamengrois,Flamengrois,,11
malmaisonais,Malmaisonais,,12
selvois,Selvois,,7
valmuletier,Valmuletiers,,11
villeboisien,Villeboisien,,12
flaconier,Flaconiers,,9
landouzien,Landouzien,,10
laonnois,Laonnois,,8
lappionnais,Lappionnais,,11
launoyen,Launoyens,,8
laversinois,Laversinois,,11
catelesien,Catelésien,,10
le-haucourtois,"Le Haucourtois",
nouvionnais,Nouvionnais,,11
sourdois,Sourdois,,8
virgultois,Virgultois,,10
elmerois,Elmérois,,8
lempirois,Lempirois,,9
lerzyen,Lerzyens,,7
autelois,Autelois,,8
leschellois,Leschellois,,11
lesdinois,Lesdinois,,9
lesquiellois,Lesquiellois,,12
leuillois,Leuillois,,9
levergeois,Levergeois,,10
liessois,Liessois,,8
liezois,Liezois,,7
lisletois,Lisletois,,9
lizien,Lizien,,6
longipontain,Longipontain,,12
longuevallois,Longuevallois,,13
loriot,Loriot,,6
loupeignois,Loupeignois,,11
berlot,Berlot,,6
luzoirien,Luzoirien,,9
machecourtois,Mâchecourtois,,13
macquignyquois,Macquignyquois,,14
magnyfossien,Magnyfossien,,12
maissemiacois,Maissemiacois,,13
maziacais,Maziacais,,9
manicampois,Manicampois,,11
marchaisien,Marchaisien,,11
mareuillois,Mareuillois,,11
marlois,Marlois,,7
marlysien,Marlysien,,9
mal-peigne,Mals-Peignés,
mauregnycien,Mauregnycien,,12
mayotain,Mayotain,,8
mennevillois,Mennevillois,,12
mennevrezien,Mennevrézien,,12
mercinois,Mercinois,,9
merilocien,Mérilocien,,10
mesbrecourtois,Mesbrecourtois,,14
meurivalois,Meurivalois,,11
macerien,Macérien,,8
missyacois,Missyacois,,10
axo-missien,Axo-Missien,
lupimoncellien,Lupimoncellien,,14
monceen,Moncéen,,7
mondrepuisien,Mondrepuisien,,13
montois,Montois,,7
orignyquois,Orignyquois,,11
mont-nostradamien,Mont-Nostradamien,
montepierrin,Montépierrin,,12
montacutain,Montacutain,,11
montbavinois,Montbavinois,,12
montbrehainois,Montbrehainois,,14
montcornetois,Montcornetois,,13
montescourtois,Montescourtois,,14
montgobertois,Montgobertois,,13
montgruain,Montgruain,,10
monthierois,Monthiérois,,11
monthurellois,Monthurellois,,13
montignyaquois,Montignyaquois,,14
ignymontain,Ignymontain,,11
montignais,Montignais,,10
montlevonicien,Montlevonicien,,14
montreuillois,Montreuillois,,13
morcourtois,Morcourtois,,11
morsainois,Morsainois,,10
mortefontainois,Mortefontainois,,15
moulinois,Moulinois,,9
moussyacois,Moussyacois,,11
muretain,Muretain,,8
muscourtois,Muscourtois,,11
nantolien,Nantolien,,9
nauroisien,Nauroisien,,10
neslois,Neslois,,7
neufchatelois,Neufchâtelois,,13
frontonnais,Frontonnais,,11
neuve-maisonnais,Neuve-Maisonnais,
neuvillois,Neuvillois,,10
neuvillois,Neuvillois,,10
niziois,Niziois,,7
nogentais,Nogentais,,9
nogentellois,Nogentellois,,12
noroisien,Noroisien,,9
nouvionnais,Nouvionnais,,11
nouvionnais,Nouvionnais,,11
nouvronnais,Nouvronnais,,11
noyantais,Noyantais,,9
uliacois,Uliacois,,8
ognois,Ognois,,6
ohissois,Ohissois,,8
ogniacien,Ogniacien,,9
oiseen,Oiséen,,6
ulmissien,Ulmissien,,9
orainvillois,Orainvillois,,12
aurinien,Aurinien,,8
orignaquois,Orignaquois,,11
ulcheen,Ulchéen,,7
paareen,Paaréen,,7
paissois,Paissois,,8
pancyacois,Pancyacois,,10
papleusien,Papleusien,,10
parcyacois,Parcyacois,,10
pargnantais,Pargnantais,,11
pargnysien,Pargnysien,,10
pargnysien,Pargnysien,,10
paslysien,Paslysien,,9
pavanais,Pavanais,,8
perlois,Perlois,,7
pernantais,Pernantais,,10
verlyzien,Verlyzien,,9
pierremandois,Pierremandois,,13
pierrepontois,Pierrepontois,,13
pignicourtois,Pignicourtois,,13
pinonais,Pinonais,,8
pithonais,Pithonais,,9
plomionais,Plomionais,,10
ployartais,Ployartais,,10
pommeramien,Pommeramien,,11
saint-mard-pontain,Saint-Mard-Pontain,
pontavertois,Pontavertois,,12
russipontain,Russipontain,,12
pontruetois,Pontruétois,,11
pauliacien,Pauliacien,,10
premontois,Prémontois,,10
premontrois,Prémontrois,,11
preslois,Preslois,,8
preslois,Preslois,,8
prouvaisien,Prouvaisien,,11
provisiolain,Provisiolain,,12
podiscain,Podiscain,,9
puteolien,Putéolien,,9
cherizien,Cherizien,,9
quinciacois,Quinciacois,,11
raillimontois,Raillimontois,,13
ramicourtois,Ramicourtois,,12
regniaquois,Regniaquois,,11
remaucourtois,Remaucourtois,,13
remignois,Remignois,,9
renansartois,Renansartois,,12
rennevalois,Rennevalois,,11
resignien,Résignien,,9
ressonnais,Ressonnais,,10
retheuillois,Retheuillois,,12
revillois-et-sauvignat,"Révillois et Sauvignat",
revillonais,Révillonais,,11
ribemontois,Ribemontois,,11
rocourtois,Rocourtois,,10
rocquignien,Rocquignien,,11
rogecourtois,Rogécourtois,,12
romenyat,Romenyat,,8
romain,Romain,,6
roucyen,Roucyens,,7
royaucourtois,Royaucourtois,,13
rozierois,Roziérois,,9
rostand,Rostands,,7
saconois,Saconois,,8
sainsois,Sainsois,,8
augisois,Augisois,,8
blais,Blaises,,5
saint-christophois,Saint-Christophois,
saint-ermois,Saint-Ermois,
saint-eugenois,Saint-Eugénois,
saint-gengoulphois,Saint-Gengoulphois,
gobanais,Gobanais,,8
saint-gobertois,Saint-Gobertois,
saint-michellois,Saint-Michellois,
saint-pierrois,Saint-Pierrois,
saint-quentinois,Saint-Quentinois,
saint-simonien,Saint-Simonien,
saint-thomasien,Saint-Thomasien,
saint-croisien,Saint-Croisien,
sainte-preuvien,Sainte-Preuvien,
sancysien,Sancysien,,9
saulcherien,Saulcherien,,11
savignon,Savignon,,8
seboncourtois,Seboncourtois,,13
septmontois,Septmontois,,11
septvalien,Septvalien,,10
sequehartois,Sequehartois,,12
serainois,Serainois,,9
seraucourtois,Seraucourtois,,13
serchois,Serchois,,8
sermoisien,Sermoisien,,10
serysien,Sérysien,,8
sincenois,Sincenois,,9
sissonnais,Sissonnais,,10
sissiaquois,Sissiaquois,,11
soissonnais,Soissonnais,,11
sorbaisien,Sorbaisien,,10
sulceen,Sulcéen,,7
tavelois,Tavelois,,8
ternois,Ternois,,7
thenellois,Thenellois,,10
toulisien,Toulisien,,9
travecyen,Travecyens,,9
trefconnais,Trefconnais,,11
trucyen,Trucyens,,7
tupignien,Tupignien,,9
urcelois,Urcelois,,8
urvillois,Urvillois,,9
vadencourtois,Vadencourtois,,13
vaillysien,Vaillysien,,10
variscourtois,Variscourtois,,13
vassognais,Vassognais,,10
vaucellois,Vaucellois,,10
vaudessonnais,Vaudessonnais,,13
vauxois,Vauxois,,7
vauxaillonnais,Vauxaillonnais,,14
vauxbuinois,Vauxbuinois,,11
malresien,Malrésien,,9
vendellois,Vendellois,,10
vendeuillois,Vendeuillois,,12
vendolesien,Vendolésien,,11
vendressois,Vendressois,,11
venerollais,Vénérollais,,11
venizellois,Venizellois,,11
verdillat,Verdillat,,9
vermandois,Vermandois,,10
verneuillois,Verneuillois,,12
versignien,Versignien,,10
vervinois,Vervinois,,9
veslois,Veslois,,7
vezaponien,Vézaponien,,10
vicois,Vicois,,6
vichelois,Vichelois,,9
vieux-montois,Vieux-Montois,
vierzois,Vierzois,,8
viffortois,Viffortois,,10
villemontoirien,Villemontoirien,,15
villeneuvois,Villeneuvois,,12
genlisien,Genlisien,,9
villeretois,Villeretois,,11
cotterezien,Cotterézien,,11
villerois,Villerois,,9
villerois,Villerois,,9
villierois,Villiérois,,10
virois,Virois,,6
vivaisois,Vivaisois,,9
vivierois,Viviérois,,9
vorgien,Vorgien,,7
voulpaisien,Voulpaisien,,11
voyennais,Voyennais,,9
vregnysien,Vregnysien,,10
wassignien,Wassignien,,10
wimyen,Wimyens,,6
wissignicourtois,Wissignicourtois,,16
abrestois,Abrestois,,9
agongeois,Agongeois,,9
castelainaisien,Castelainaisien,,15
andelarochois,Andelarochois,,13
archignacois,Archignacois,,12
arfeuillat,Arfeuillat,,10
arpheuillais,Arpheuillais,,12
arronnais,Arronnais,,9
audois,Audois,,6
aurouerois,Aurouërois,,10
issardien,Issardien,,9
avermois,Avermois,,8
avrillois,Avrillois,,9
bagnolais,Bagnolais,,9
barraisien,Barraisien,,10
bayetois,Bayétois,,8
beaulonnais,Beaulonnais,,11
beaunois,Beaunois,,8
beguois,Béguois,,7
bellenavois,Bellenavois,,11
bellerivois,Bellerivois,,11
bertois,Bertois,,7
bessaytois,Bessaytois,,10
bessonnais,Bessonnais,,10
bezenetois,Bézenétois,,10
billezoissien,Billezoissien,,13
billyssois,Billyssois,,10
biozatois,Biozatois,,9
bizeneuillois,Bizeneuillois,,13
blomardais,Blomardais,,10
bostois,Bostois,,7
bourbonnais,Bourbonnais,,11
braizois,Braizois,,8
bransatois,Bransatois,,10
brenaissois,Brénaissois,,11
bressollois,Bressollois,,11
brout-vernetois,Broût-Vernetois,
brugheassois,Brugheassois,,12
bussetois,Bussétois,,9
buxierois,Buxiérois,,9
cerillois,Cérillois,,9
cessetois,Cessetois,,9
chamberatois,Chambératois,,12
chambletois,Chambletois,,11
chantellois,Chantellois,,11
chapeautois,Chapeautois,,11
chappois,Chappois,,8
chareillois,Chareillois,,11
charmeillois,Charmeillois,,12
charmois,Charmois,,8
charlois,Charlois,,8
chassenardais,Chassenardais,,13
castelmontbellois,Castelmontbellois,,17
casteldeneuvrois,Casteldeneuvrois,,16
chatelois,Châtelois,,9
chatelperronais,Châtelperronais,,15
castellucien,Castellucien,,12
chatillonnois,Châtillonnois,,13
chavenonnais,Chavenonnais,,12
chavrochois,Chavrochois,,11
chemillyssois,Chemillyssois,,13
chevagnois,Chevagnois,,10
chezellois,Chezellois,,10
chezissois,Chezissois,,10
chiratois,Chiratois,,9
calvinien,Calvinien,,9
cindreen,Cindréen,,8
cognatois,Cognatois,,9
colombarien,Colombarien,,11
commentryen,Commentryens,,11
contignyssois,Contignyssois,,13
cosnois,Cosnois,,7
coulandonnais,Coulandonnais,,13
coulangeois,Coulangeois,,11
couleuvrois,Couleuvrois,,11
courcillot,Courcillot,,10
sabotier,Sabotiers,,8
couzonnais,Couzonnais,,10
crechyssois,Créchyssois,,11
